Unnamed: 0,filename,original filename,scanid,digit,database name original,contributing team,database name,included,img_path,split_col
11464.0,c11464.png,Scan_189_digit_4_num_7.png,189,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c11464.png,OngkoDB_4
16202.0,c16202.png,Scan_199_digit_4_num_7.png,199,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c16202.png,OngkoDB_4
18083.0,c18083.png,Scan_176_digit_4_num_3.png,176,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c18083.png,OngkoDB_4
6505.0,c06505.png,Scan_285_digit_4_num_9.png,285,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c06505.png,OngkoDB_4
20100.0,c20100.png,Scan_187_digit_4_num_1.png,187,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c20100.png,OngkoDB_4
6848.0,c06848.png,Scan_165_digit_4_num_8.png,165,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c06848.png,OngkoDB_4
2467.0,c02467.png,Scan_40_digit_4_num_8.png,40,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c02467.png,OngkoDB_4
5254.0,c05254.png,Scan_154_digit_4_num_6.png,154,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c05254.png,OngkoDB_4
11924.0,c11924.png,Scan_167_digit_4_num_4.png,167,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c11924.png,OngkoDB_4
1909.0,c01909.png,Scan_151_digit_4_num_8.png,151,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c01909.png,OngkoDB_4
10894.0,c10894.png,Scan_74_digit_4_num_0.png,74,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c10894.png,OngkoDB_4
16784.0,c16784.png,Scan_192_digit_4_num_3.png,192,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c16784.png,OngkoDB_4
11187.0,c11187.png,Scan_231_digit_4_num_6.png,231,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c11187.png,OngkoDB_4
10596.0,c10596.png,Scan_39_digit_4_num_0.png,39,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c10596.png,OngkoDB_4
23295.0,c23295.png,Scan_221_digit_4_num_3.png,221,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c23295.png,OngkoDB_4
10092.0,c10092.png,Scan_120_digit_4_num_4.png,120,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c10092.png,OngkoDB_4
6.0,c00006.png,Scan_4_digit_4_num_1.png,4,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c00006.png,OngkoDB_4
16003.0,c16003.png,Scan_236_digit_4_num_4.png,236,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c16003.png,OngkoDB_4
14575.0,c14575.png,Scan_273_digit_4_num_4.png,273,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c14575.png,OngkoDB_4
15885.0,c15885.png,Scan_12_digit_4_num_2.png,12,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c15885.png,OngkoDB_4
22484.0,c22484.png,Scan_225_digit_4_num_0.png,225,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c22484.png,OngkoDB_4
3879.0,c03879.png,Scan_88_digit_4_num_8.png,88,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c03879.png,OngkoDB_4
12646.0,c12646.png,Scan_109_digit_4_num_0.png,109,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c12646.png,OngkoDB_4
6455.0,c06455.png,Scan_121_digit_4_num_3.png,121,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c06455.png,OngkoDB_4
18631.0,c18631.png,Scan_201_digit_4_num_7.png,201,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c18631.png,OngkoDB_4
4076.0,c04076.png,Scan_120_digit_4_num_5.png,120,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c04076.png,OngkoDB_4
8018.0,c08018.png,Scan_105_digit_4_num_1.png,105,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c08018.png,OngkoDB_4
11107.0,c11107.png,Scan_214_digit_4_num_0.png,214,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c11107.png,OngkoDB_4
11657.0,c11657.png,Scan_269_digit_4_num_9.png,269,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c11657.png,OngkoDB_4
11418.0,c11418.png,Scan_44_digit_4_num_0.png,44,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c11418.png,OngkoDB_4
627.0,c00627.png,Scan_246_digit_4_num_9.png,246,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c00627.png,OngkoDB_4
6731.0,c06731.png,Scan_136_digit_4_num_2.png,136,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c06731.png,OngkoDB_4
5570.0,c05570.png,Scan_177_digit_4_num_1.png,177,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c05570.png,OngkoDB_4
10090.0,c10090.png,Scan_181_digit_4_num_9.png,181,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c10090.png,OngkoDB_4
17358.0,c17358.png,Scan_140_digit_4_num_4.png,140,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c17358.png,OngkoDB_4
827.0,c00827.png,Scan_280_digit_4_num_9.png,280,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c00827.png,OngkoDB_4
2676.0,c02676.png,Scan_219_digit_4_num_9.png,219,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c02676.png,OngkoDB_4
21552.0,c21552.png,Scan_69_digit_4_num_9.png,69,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c21552.png,OngkoDB_4
12034.0,c12034.png,Scan_100_digit_4_num_1.png,100,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c12034.png,OngkoDB_4
15251.0,c15251.png,Scan_70_digit_4_num_1.png,70,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c15251.png,OngkoDB_4
14721.0,c14721.png,Scan_217_digit_4_num_7.png,217,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c14721.png,OngkoDB_4
22514.0,c22514.png,Scan_91_digit_4_num_8.png,91,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c22514.png,OngkoDB_4
2273.0,c02273.png,Scan_221_digit_4_num_0.png,221,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c02273.png,OngkoDB_4
665.0,c00665.png,Scan_222_digit_4_num_3.png,222,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c00665.png,OngkoDB_4
4887.0,c04887.png,Scan_228_digit_4_num_2.png,228,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c04887.png,OngkoDB_4
14245.0,c14245.png,Scan_192_digit_4_num_2.png,192,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c14245.png,OngkoDB_4
2165.0,c02165.png,Scan_29_digit_4_num_3.png,29,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c02165.png,OngkoDB_4
8274.0,c08274.png,Scan_102_digit_4_num_9.png,102,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c08274.png,OngkoDB_4
18134.0,c18134.png,Scan_14_digit_4_num_0.png,14,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c18134.png,OngkoDB_4
14832.0,c14832.png,Scan_181_digit_4_num_2.png,181,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c14832.png,OngkoDB_4
1614.0,c01614.png,Scan_225_digit_4_num_4.png,225,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c01614.png,OngkoDB_4
21328.0,c21328.png,Scan_131_digit_4_num_5.png,131,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c21328.png,OngkoDB_4
15056.0,c15056.png,Scan_106_digit_4_num_7.png,106,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c15056.png,OngkoDB_4
13535.0,c13535.png,Scan_201_digit_4_num_8.png,201,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c13535.png,OngkoDB_4
13617.0,c13617.png,Scan_202_digit_4_num_0.png,202,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c13617.png,OngkoDB_4
9407.0,c09407.png,Scan_278_digit_4_num_3.png,278,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c09407.png,OngkoDB_4
23869.0,c23869.png,Scan_230_digit_4_num_2.png,230,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c23869.png,OngkoDB_4
2360.0,c02360.png,Scan_128_digit_4_num_8.png,128,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c02360.png,OngkoDB_4
17437.0,c17437.png,Scan_41_digit_4_num_6.png,41,4,OngkoDB,Buet_Backpropers,training-c,True,training-c/c17437.png,OngkoDB_4
